user_id,anomaly_score_IF,anomaly_IF,anomaly_score_AE,anomaly_AE,is_anomaly,user_risk_grade,anomaly,critical_anomaly
10021524,0.1406251293073201,1,0.062694214,1,2,Normal,1,1
10021525,0.1400434952859908,1,0.054034445,1,2,Normal,1,1
10021526,0.1737571790563184,1,0.03780879,1,2,Normal,1,1
10021527,0.0520168686898574,1,0.13196102,1,2,Normal,1,1
10021528,0.0843701786275193,1,0.35869324,1,2,Normal,1,1
10021529,0.1602799907033166,1,0.094524644,1,2,Normal,1,1
10021530,0.177628967073639,1,0.035900366,1,2,Normal,1,1
10021531,0.1177850673335307,1,0.18522164,1,2,Normal,1,1
10021532,0.1417279480524254,1,0.1251655,1,2,Normal,1,1
10021533,0.0118535890286279,1,0.1179081,1,2,Normal,1,1
10021534,0.0173245553454544,1,0.6897483,-1,0,Medium Risk,-1,1
10021535,0.0994275414243059,1,0.17425914,1,2,Normal,1,1
10021536,0.1641521136431556,1,0.068439774,1,2,Normal,1,1
10021537,0.0891810855883757,1,0.16702612,1,2,Normal,1,1
10021538,0.0905484885540398,1,0.12262724,1,2,Normal,1,1
10021539,0.0732864594278551,1,0.13936111,1,2,Normal,1,1
10021540,0.1520662336069576,1,0.059953276,1,2,Normal,1,1
10021541,0.1503442409948158,1,0.093410395,1,2,Normal,1,1
10021542,0.1516047479675017,1,0.07954957,1,2,Normal,1,1
10021543,0.1839494998215086,1,0.010869819,1,2,Normal,1,1
10021544,0.1240241467760718,1,0.21515398,1,2,Normal,1,1
10021545,0.1108293379174547,1,0.08418176,1,2,Normal,1,1
10021546,0.1701037415848345,1,0.03637059,1,2,Normal,1,1
10021547,0.173150259637293,1,0.05446508,1,2,Normal,1,1
10021548,0.1618639103037813,1,0.07403923,1,2,Normal,1,1
10021549,-0.0808444230449515,-1,0.5750306,-1,-2,Critical Risk,-1,-1
10021550,0.1288904007692676,1,0.11221816,1,2,Normal,1,1
10021551,0.144330222913515,1,0.054539092,1,2,Normal,1,1
10021552,0.147589347448283,1,0.13331807,1,2,Normal,1,1
10021553,0.1464173914232913,1,0.046176627,1,2,Normal,1,1
10021554,0.0599990142511684,1,0.46774924,1,2,Normal,1,1
10021555,0.1623771932955853,1,0.07264112,1,2,Normal,1,1
10021556,-0.0403054303845644,-1,0.2079317,1,0,Medium Risk,-1,1
10021557,0.0847771962496173,1,0.16208863,1,2,Normal,1,1
10021558,0.1421895945403737,1,0.10280467,1,2,Normal,1,1
10021559,0.0149054376210984,1,0.17849982,1,2,Normal,1,1
10021560,0.1695147760463433,1,0.035349987,1,2,Normal,1,1
10021561,0.1708721582447072,1,0.034498066,1,2,Normal,1,1
10021562,0.1531359932245278,1,0.090622164,1,2,Normal,1,1
10021563,0.1531606596001978,1,0.07513843,1,2,Normal,1,1
10021564,0.1457716653215741,1,0.09357273,1,2,Normal,1,1
10021565,0.138518876687762,1,0.115827814,1,2,Normal,1,1
10021566,0.12295930638778,1,0.06958663,1,2,Normal,1,1
10021567,0.1831530602458502,1,0.023641864,1,2,Normal,1,1
10021568,0.0318770854280728,1,0.32292438,1,2,Normal,1,1
10021569,0.1686483420895549,1,0.048033345,1,2,Normal,1,1
10021570,0.1366062202020544,1,0.13551366,1,2,Normal,1,1
10021571,0.1818384414068627,1,0.03383139,1,2,Normal,1,1
10021572,0.1116479156529485,1,0.14175284,1,2,Normal,1,1
10021573,0.125734818307896,1,0.08240952,1,2,Normal,1,1
10021574,0.0700509264641802,1,0.13656941,1,2,Normal,1,1
10021575,0.1817401327217031,1,0.027431365,1,2,Normal,1,1
10021576,0.1701364919048936,1,0.05210394,1,2,Normal,1,1
10021577,0.1683073528524468,1,0.054112863,1,2,Normal,1,1
10021578,0.1737034997774995,1,0.036289297,1,2,Normal,1,1
10021579,0.1835828034998812,1,0.01824025,1,2,Normal,1,1
10021580,0.1619211637224407,1,0.0863482,1,2,Normal,1,1
10021581,0.1659756303647591,1,0.044909056,1,2,Normal,1,1
10021582,0.1774598586301985,1,0.040532853,1,2,Normal,1,1
10021583,0.0881633727150175,1,0.08206476,1,2,Normal,1,1
10021584,0.0114133501769329,1,0.5473872,-1,0,Medium Risk,-1,1
10021585,0.1235789944804576,1,0.13407993,1,2,Normal,1,1
10021586,0.1691504323091733,1,0.045029942,1,2,Normal,1,1
10021587,0.1290543007355768,1,0.092221886,1,2,Normal,1,1
10021588,0.1311427305079437,1,0.15770392,1,2,Normal,1,1
10021589,0.1746198657186947,1,0.030661756,1,2,Normal,1,1
10021590,0.173449863520014,1,0.045290675,1,2,Normal,1,1
10021591,0.1760228854774654,1,0.03171501,1,2,Normal,1,1
10021592,0.1315030363572655,1,0.09981136,1,2,Normal,1,1
10021593,0.0795159502733008,1,0.536801,-1,0,Medium Risk,-1,1
10021594,0.1165120870865572,1,0.14475125,1,2,Normal,1,1
10021595,0.1784145681988065,1,0.025254745,1,2,Normal,1,1
10021596,0.0480588522454045,1,0.23810937,1,2,Normal,1,1
10021597,0.1752581588983108,1,0.045318138,1,2,Normal,1,1
10021598,0.1696598249190019,1,0.032295454,1,2,Normal,1,1
10021599,-0.1428013798067228,-1,0.9226488,-1,-2,Critical Risk,-1,-1
10021600,0.1544282764141146,1,0.050531946,1,2,Normal,1,1
10021601,0.1804650012145343,1,0.061875463,1,2,Normal,1,1
10021602,0.1604613354823415,1,0.08267755,1,2,Normal,1,1
10021603,0.1455342630626187,1,0.10436527,1,2,Normal,1,1
10021604,0.1766376584876627,1,0.04158372,1,2,Normal,1,1
10021605,0.1489610635447981,1,0.10579316,1,2,Normal,1,1
10021606,0.1776679757442279,1,0.052897047,1,2,Normal,1,1
10021607,0.1848931245930464,1,0.032430205,1,2,Normal,1,1
10021608,0.1656713765170596,1,0.05697323,1,2,Normal,1,1
10021609,0.1836153325036003,1,0.016929155,1,2,Normal,1,1
10021610,0.0342103915833942,1,0.20222159,1,2,Normal,1,1
10021611,0.175248600541073,1,0.028637791,1,2,Normal,1,1
10021612,0.1598838896829579,1,0.06178733,1,2,Normal,1,1
10021613,0.1682987922668136,1,0.06728945,1,2,Normal,1,1
10021614,0.1707381805699814,1,0.03958599,1,2,Normal,1,1
10021615,0.1100564905684163,1,0.2806888,1,2,Normal,1,1
10021616,0.1360738417853829,1,0.092015974,1,2,Normal,1,1
10021617,0.1611317856326258,1,0.09179598,1,2,Normal,1,1
10021618,0.0276053874149925,1,0.5380251,-1,0,Medium Risk,-1,1
10021619,0.1777101137360074,1,0.031522404,1,2,Normal,1,1
10021620,0.1717431659760491,1,0.07140591,1,2,Normal,1,1
10021621,0.1443065125578863,1,0.079911284,1,2,Normal,1,1
10021622,0.1732286358863285,1,0.0546842,1,2,Normal,1,1
10021623,0.1536485240077089,1,0.06977377,1,2,Normal,1,1
10021624,0.1362202917809591,1,0.10698694,1,2,Normal,1,1
10021625,0.0331975115279364,1,0.32810822,1,2,Normal,1,1
10021626,0.0569670067368411,1,0.21406479,1,2,Normal,1,1
10021627,0.035721848974094,1,0.45519412,1,2,Normal,1,1
10021628,0.0913697535542085,1,0.16349232,1,2,Normal,1,1
10021629,0.1464074653285542,1,0.14240447,1,2,Normal,1,1
10021630,0.1696901004767818,1,0.03929486,1,2,Normal,1,1
10021631,0.1573949108499063,1,0.05863616,1,2,Normal,1,1
10021632,0.1617577468223584,1,0.07740101,1,2,Normal,1,1
10021633,0.0734427554169788,1,0.3124788,1,2,Normal,1,1
10021634,0.1570581530780185,1,0.13807116,1,2,Normal,1,1
10021635,0.1604308696748565,1,0.064830564,1,2,Normal,1,1
10021636,0.1716987222531601,1,0.022634858,1,2,Normal,1,1
10021637,0.1865663302770258,1,0.021337574,1,2,Normal,1,1
10021638,0.1645181589743359,1,0.0843937,1,2,Normal,1,1
10021639,0.1719207840934603,1,0.06214867,1,2,Normal,1,1
10021640,0.1509670929366204,1,0.07558975,1,2,Normal,1,1
10021641,0.073816493364887,1,0.15768346,1,2,Normal,1,1
10021642,0.1469079418856593,1,0.075628325,1,2,Normal,1,1
10021643,0.1339412832508275,1,0.09357682,1,2,Normal,1,1
10021644,0.157370445563457,1,0.044864673,1,2,Normal,1,1
10021645,0.0824702403626019,1,0.10664989,1,2,Normal,1,1
10021646,0.1075909556727691,1,0.11306459,1,2,Normal,1,1
10021647,0.1554961706572157,1,0.12928717,1,2,Normal,1,1
10021648,0.155807869027709,1,0.062636666,1,2,Normal,1,1
10021649,0.0784378794961079,1,0.38828248,1,2,Normal,1,1
10021650,0.1193761891465982,1,0.060152285,1,2,Normal,1,1
10021651,0.0745143919879131,1,0.3602055,1,2,Normal,1,1
10021652,0.1461811118990515,1,0.20237774,1,2,Normal,1,1
10021653,0.1475463946673997,1,0.05799522,1,2,Normal,1,1
10021654,0.1127431656336705,1,0.098324955,1,2,Normal,1,1
10021655,0.173459660565319,1,0.044789016,1,2,Normal,1,1
10021656,0.1624842553687476,1,0.085623175,1,2,Normal,1,1
10021657,0.1569162723886393,1,0.050253566,1,2,Normal,1,1
10021658,0.1667190490556937,1,0.055451404,1,2,Normal,1,1
10021659,-0.0265553082434737,-1,0.18696003,1,0,Medium Risk,-1,1
10021660,0.0822284741894917,1,0.07542651,1,2,Normal,1,1
10021661,0.1749149603038376,1,0.01776552,1,2,Normal,1,1
10021662,0.0237970276647208,1,0.5600393,-1,0,Medium Risk,-1,1
10021663,0.1761344052413419,1,0.03455881,1,2,Normal,1,1
10021664,0.1343824996633965,1,0.06285516,1,2,Normal,1,1
10021665,0.1425432871225176,1,0.11655822,1,2,Normal,1,1
10021666,0.1662744844547417,1,0.049858373,1,2,Normal,1,1
10021667,0.1370669218295744,1,0.07951995,1,2,Normal,1,1
10021668,0.0508849780567168,1,0.10360625,1,2,Normal,1,1
10021669,0.1518742308338311,1,0.17470649,1,2,Normal,1,1
10021670,0.1490960948897972,1,0.061453827,1,2,Normal,1,1
10021671,0.0619131402154731,1,0.2095175,1,2,Normal,1,1
10021672,0.1732115009044826,1,0.050099723,1,2,Normal,1,1
10021673,0.1375243031706299,1,0.093785815,1,2,Normal,1,1
10021674,0.068725371016484,1,0.07670837,1,2,Normal,1,1
10021675,0.1203110973569449,1,0.1247835,1,2,Normal,1,1
10021676,0.1003720368206422,1,0.20610474,1,2,Normal,1,1
10021677,0.1866309665851512,1,0.015036445,1,2,Normal,1,1
10021678,0.1838430791432534,1,0.033834353,1,2,Normal,1,1
10021679,0.1722380898209921,1,0.029565727,1,2,Normal,1,1
10021680,0.0977634282982826,1,0.21024203,1,2,Normal,1,1
10021681,0.1364500071210519,1,0.14774275,1,2,Normal,1,1
10021682,0.1795864586552111,1,0.017961895,1,2,Normal,1,1
10021683,0.1343282550525092,1,0.21636981,1,2,Normal,1,1
